"session" "ID_full" "ID_full_part" "id_flow_part" "ID" "nb_visit" "nb_dist_vis" "dur_visit_sum" "dur_visit_mean" "dur_visit_med" "nb_poll_focal" "ID_part" "import_nb_visit_co1" "import_dur_visit_co1" "export_nb_visit_co1" "export_dur_visit_co1" "import_nb_visit_co2" "import_dur_visit_co2" "export_nb_visit_co2" "export_dur_visit_co2" "import_nb_visit_co3" "import_dur_visit_co3" "export_nb_visit_co3" "export_dur_visit_co3" "import_nb_visit_co4" "import_dur_visit_co4" "export_nb_visit_co4" "export_dur_visit_co4" "import_nb_visit_co5" "import_dur_visit_co5" "export_nb_visit_co5" "export_dur_visit_co5" "import_nb_visit_co6" "import_dur_visit_co6" "export_nb_visit_co6" "export_dur_visit_co6" "import_nb_visit_co7" "import_dur_visit_co7" "export_nb_visit_co7" "export_dur_visit_co7" "import_nb_visit_co8" "import_dur_visit_co8" "export_nb_visit_co8" "export_dur_visit_co8" "import_nb_visit_co9" "import_dur_visit_co9" "export_nb_visit_co9" "export_dur_visit_co9" "import_nb_visit_co10" "import_dur_visit_co10" "export_nb_visit_co10" "export_dur_visit_co10" "import_nb_visit_co11" "import_dur_visit_co11" "export_nb_visit_co11" "export_dur_visit_co11" "import_nb_visit_co12" "import_dur_visit_co12" "export_nb_visit_co12" "export_dur_visit_co12" "import_nb_visit_co13" "import_dur_visit_co13" "export_nb_visit_co13" "export_dur_visit_co13" "import_nb_visit_co14" "import_dur_visit_co14" "export_nb_visit_co14" "export_dur_visit_co14" "import_nb_visit_co15" "import_dur_visit_co15" "export_nb_visit_co15" "export_dur_visit_co15" "import_nb_visit_co16" "import_dur_visit_co16" "export_nb_visit_co16" "export_dur_visit_co16" "import_nb_visit_co17" "import_dur_visit_co17" "export_nb_visit_co17" "export_dur_visit_co17" "import_nb_visit_co18" "import_dur_visit_co18" "export_nb_visit_co18" "export_dur_visit_co18" "import_nb_visit_co19" "import_dur_visit_co19" "export_nb_visit_co19" "export_dur_visit_co19" "import_nb_visit_co20" "import_dur_visit_co20" "export_nb_visit_co20" "export_dur_visit_co20" "import_nb_visit_co30" "import_dur_visit_co30" "export_nb_visit_co30" "export_dur_visit_co30" "import_nb_visit_co40" "import_dur_visit_co40" "export_nb_visit_co40" "export_dur_visit_co40" "import_nb_visit_co50" "import_dur_visit_co50" "export_nb_visit_co50" "export_dur_visit_co50" "import_nb_visit_co100" "import_dur_visit_co100" "export_nb_visit_co100" "export_dur_visit_co100" "import_nb_visit_co200" "import_dur_visit_co200" "export_nb_visit_co200" "export_dur_visit_co200" "import_nb_visit_co300" "import_dur_visit_co300" "export_nb_visit_co300" "export_dur_visit_co300" "impex_nb_visit_co1" "impex_dur_visit_co1" "impex_nb_visit_co2" "impex_dur_visit_co2" "impex_nb_visit_co3" "impex_dur_visit_co3" "impex_nb_visit_co4" "impex_dur_visit_co4" "impex_nb_visit_co5" "impex_dur_visit_co5" "impex_nb_visit_co6" "impex_dur_visit_co6" "impex_nb_visit_co7" "impex_dur_visit_co7" "impex_nb_visit_co8" "impex_dur_visit_co8" "impex_nb_visit_co9" "impex_dur_visit_co9" "impex_nb_visit_co10" "impex_dur_visit_co10" "impex_nb_visit_co11" "impex_dur_visit_co11" "impex_nb_visit_co12" "impex_dur_visit_co12" "impex_nb_visit_co13" "impex_dur_visit_co13" "impex_nb_visit_co14" "impex_dur_visit_co14" "impex_nb_visit_co15" "impex_dur_visit_co15" "impex_nb_visit_co16" "impex_dur_visit_co16" "impex_nb_visit_co17" "impex_dur_visit_co17" "impex_nb_visit_co18" "impex_dur_visit_co18" "impex_nb_visit_co19" "impex_dur_visit_co19" "impex_nb_visit_co20" "impex_dur_visit_co20" "impex_nb_visit_co30" "impex_dur_visit_co30" "impex_nb_visit_co40" "impex_dur_visit_co40" "impex_nb_visit_co50" "impex_dur_visit_co50" "impex_nb_visit_co100" "impex_dur_visit_co100" "impex_nb_visit_co200" "impex_dur_visit_co200" "impex_nb_visit_co300" "impex_dur_visit_co300" "id_flow_init" "nbGr_SR" "nbGr_viab" "pl" "SR_couple" "SR_mal_all_share" "SR_mal_all_share_viab" "nGenot" "gMS_fem_all" "gMS_fem_out"
"1.FA1" "1.FA1.01" "1.FA1.01" "1.FA1.01_H1_R1" 1 25 13 213.846 8.55384 5.05500000000001 1 1 2 32.959 3 35.1340000000002 3 44.905 6 70.2680000000004 4 56.851 8 103.227 5 77.864 10 136.186 6 98.877 12 169.145 7 110.823 13 190.158 8 122.769 15 213.346000000001 8 122.769 17 227.467000000001 8 122.769 17 227.467000000001 8 122.769 18 248.480000000001 8 122.769 18 248.480000000001 8 122.769 18 248.480000000001 9 143.782 18 248.480000000001 9 143.782 18 248.480000000001 10 155.728 18 248.480000000001 10 155.728 18 248.480000000001 10 155.728 18 248.480000000001 10 155.728 18 248.480000000001 10 155.728 18 248.480000000001 10 155.728 18 248.480000000001 10 155.728 22 257.180000000001 10 155.728 24 261.530000000002 10 155.728 25 263.705000000002 10 155.728 25 263.705000000002 34 551.236 38 291.980000000004 34 551.236 38 291.980000000004 5 68.0930000000002 9 115.173 12 160.078 15 214.05 18 268.022 20 300.981 23 336.115000000001 25 350.236000000001 25 350.236000000001 26 371.249000000001 26 371.249000000001 26 371.249000000001 27 392.262000000001 27 392.262000000001 28 404.208000000001 28 404.208000000001 28 404.208000000001 28 404.208000000001 28 404.208000000001 28 404.208000000001 32 412.908000000001 34 417.258000000002 35 419.433000000002 35 419.433000000002 72 843.216000000005 72 843.216000000005 "1.FA1.01_H1_R1" 1 NA NA NA NA NA NA NA NA
"1.FA1" "1.FA1.01" "1.FA1.01" "1.FA1.01_H1_R2" 1 25 13 213.846 8.55384 5.05500000000001 1 1 1 3.36999999999989 0 NA 2 6.73999999999978 0 NA 2 6.73999999999978 0 NA 2 6.73999999999978 0 NA 2 6.73999999999978 1 3.36999999999989 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 8 26.9599999999991 2 6.73999999999978 8 26.9599999999991 2 6.73999999999978 9 30.329999999999 2 6.73999999999978 9 30.329999999999 2 6.73999999999978 22 74.1399999999976 2 6.73999999999978 22 74.1399999999976 1 3.36999999999989 2 6.73999999999978 2 6.73999999999978 2 6.73999999999978 3 10.1099999999997 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 4 13.4799999999996 10 33.6999999999989 10 33.6999999999989 11 37.0699999999988 11 37.0699999999988 24 80.8799999999974 24 80.8799999999974 "1.FA1.01_H1_R2" 2 NA 87 NA NA NA NA NA NA
"1.FA1" "1.FA1.01" "1.FA1.01" "1.FA1.01_H1_R3" 1 25 13 213.846 8.55384 5.05500000000001 1 1 2 13.353 1 1.023 3 14.376 1 1.023 5 18.214 2 13.353 7 22.052 4 26.706 9 25.89 5 39.036 11 29.728 6 51.366 13 33.566 7 63.696 14 36.381 8 76.026 16 51.526 9 88.356 18 55.364 10 100.686 20 59.202 11 113.016 20 59.202 11 113.016 20 59.202 11 113.016 21 62.017 12 125.346 22 64.832 12 125.346 22 64.832 12 125.346 22 64.832 12 125.346 22 64.832 12 125.346 23 65.855 12 125.346 23 65.855 12 125.346 24 68.67 12 125.346 24 68.67 12 125.346 24 68.67 12 125.346 24 68.67 12 125.346 60 262.686 12 125.346 60 262.686 12 125.346 3 14.376 4 15.399 7 31.567 11 48.758 14 64.926 17 81.094 20 97.262 22 112.407 25 139.882 28 156.05 31 172.218 31 172.218 31 172.218 33 187.363 34 190.178 34 190.178 34 190.178 34 190.178 35 191.201 35 191.201 36 194.016 36 194.016 36 194.016 36 194.016 72 388.032 72 388.032 "1.FA1.01_H1_R3" 2 NA NA NA NA NA NA NA NA
"1.FA1" "1.FA1.01" "1.FA1.01" "1.FA1.01_H1_R4" 1 25 13 213.846 8.55384 5.05500000000001 1 1 2 40.595 2 40.595 4 81.19 4 81.19 5 109.84 5 93.135 6 138.49 6 105.08 8 179.085 8 145.675 10 219.68 9 157.62 10 219.68 9 157.62 10 219.68 9 157.62 11 248.33 10 169.565 12 276.98 10 169.565 12 276.98 10 169.565 12 276.98 10 169.565 12 276.98 10 169.565 13 288.925 10 169.565 13 288.925 10 169.565 13 288.925 10 169.565 13 288.925 10 169.565 14 317.575 10 169.565 14 317.575 10 169.565 14 317.575 10 169.565 14 317.575 10 169.565 14 317.575 10 169.565 14 317.575 10 169.565 14 317.575 10 169.565 38 804.715 10 169.565 38 804.715 10 169.565 4 81.19 8 162.38 10 202.975 12 243.57 16 324.76 19 377.3 19 377.3 19 377.3 21 417.895 22 446.545 22 446.545 22 446.545 22 446.545 23 458.49 23 458.49 23 458.49 23 458.49 24 487.14 24 487.14 24 487.14 24 487.14 24 487.14 24 487.14 24 487.14 48 974.28 48 974.28 "1.FA1.01_H1_RNA" NA NA NA NA NA NA NA NA NA
"1.FA1" "1.FA1.01" "1.FA1.01" "1.FA1.01_H1_R6" 1 25 13 213.846 8.55384 5.05500000000001 1 1 0 NA 1 0.725999999999999 0 NA 1 0.725999999999999 0 NA 1 0.725999999999999 0 NA 2 1.452 0 NA 3 2.178 0 NA 4 2.904 0 NA 5 3.63 1 0.725999999999999 6 4.35599999999999 1 0.725999999999999 7 5.08199999999999 1 0.725999999999999 8 5.80799999999999 1 0.725999999999999 9 6.53399999999999 1 0.725999999999999 10 7.25999999999999 1 0.725999999999999 10 7.25999999999999 1 0.725999999999999 10 7.25999999999999 1 0.725999999999999 11 7.98599999999999 1 0.725999999999999 11 7.98599999999999 1 0.725999999999999 11 7.98599999999999 1 0.725999999999999 11 7.98599999999999 1 0.725999999999999 11 7.98599999999999 1 0.725999999999999 11 7.98599999999999 1 0.725999999999999 11 7.98599999999999 1 0.725999999999999 11 7.98599999999999 1 0.725999999999999 11 7.98599999999999 1 0.725999999999999 11 7.98599999999999 13 9.43799999999999 11 7.98599999999999 13 9.43799999999999 11 7.98599999999999 1 0.725999999999999 1 0.725999999999999 1 0.725999999999999 2 1.452 3 2.178 4 2.904 5 3.63 7 5.08199999999999 8 5.80799999999999 9 6.53399999999999 10 7.25999999999999 11 7.98599999999999 11 7.98599999999999 11 7.98599999999999 12 8.71199999999999 12 8.71199999999999 12 8.71199999999999 12 8.71199999999999 12 8.71199999999999 12 8.71199999999999 12 8.71199999999999 12 8.71199999999999 12 8.71199999999999 12 8.71199999999999 24 17.424 24 17.424 "1.FA1.01_H1_RNA" NA NA NA NA NA NA NA NA NA
"1.FA1" "1.FA1.01" "1.FA1.01" "1.FA1.01_H1_R7" 1 25 13 213.846 8.55384 5.05500000000001 1 1 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 1 5.05500000000001 0 NA 2 10.11 0 NA 2 10.11 0 NA 2 10.11 0 NA 3 15.165 0 NA 4 20.22 0 NA 5 25.2750000000001 0 NA 6 30.3300000000001 0 NA 7 35.3850000000001 0 NA 8 40.4400000000001 0 NA 9 45.4950000000001 0 NA 10 50.5500000000001 0 NA 11 55.6050000000001 0 NA 12 60.6600000000001 0 NA 12 60.6600000000001 0 NA 12 60.6600000000001 0 NA 12 60.6600000000001 12 60.6600000000001 12 60.6600000000001 12 60.6600000000001 12 60.6600000000001 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 1 5.05500000000001 2 10.11 2 10.11 2 10.11 3 15.165 4 20.22 5 25.2750000000001 6 30.3300000000001 7 35.3850000000001 8 40.4400000000001 9 45.4950000000001 10 50.5500000000001 11 55.6050000000001 12 60.6600000000001 12 60.6600000000001 12 60.6600000000001 12 60.6600000000001 24 121.32 24 121.32 "1.FA1.01_H1_RNA" NA NA NA NA NA NA NA NA NA
"1.FA1" "1.FA1.01" "1.FA1.01" "1.FA1.01_H1_RNR" 1 25 13 213.846 8.55384 5.05500000000001 1 1 2 15.166 2 9.06500000000003 3 27.794 3 15.592 5 46.949 6 64.1220000000001 7 66.1040000000001 8 100.024 8 78.7320000000001 9 106.551 9 91.3600000000001 11 115.616 10 103.988 14 154.056 11 116.616 16 189.958 11 116.616 17 219.333 11 116.616 17 219.333 12 129.244 18 225.86 15 160.366 18 225.86 16 172.333 18 225.86 17 184.3 18 225.86 18 213.675 18 225.86 19 243.05 18 225.86 20 255.017 18 225.86 21 266.984000000001 18 225.86 21 266.984000000001 18 225.86 22 279.612000000001 18 225.86 26 379.704000000001 24 267.925 28 403.638000000001 25 270.463 31 439.539000000001 26 273.001 31 439.539000000001 26 273.001 55 669.399000000001 65 843.441000000001 55 669.399000000001 65 843.441000000001 4 24.231 6 43.3860000000001 11 111.071 15 166.128 17 185.283 20 206.976 24 258.044 27 306.574 28 335.949 28 335.949 30 355.104 33 386.226 34 398.193 35 410.160000000001 36 439.535000000001 37 468.910000000001 38 480.877000000001 39 492.844000000001 39 492.844000000001 40 505.472000000001 50 647.629000000001 53 674.101000000001 57 712.540000000001 57 712.540000000001 120 1512.84 120 1512.84 NA NA NA NA NA NA NA NA NA NA
"1.FA1" "1.FA1.01" "1.FA1.01" "1.FA1.01_H2_R1" 1 25 13 213.846 8.55384 5.05500000000001 1 1 1 3.98799999999983 1 3.98799999999983 1 3.98799999999983 1 3.98799999999983 1 3.98799999999983 1 3.98799999999983 2 7.97599999999966 1 3.98799999999983 3 11.9639999999995 1 3.98799999999983 3 11.9639999999995 1 3.98799999999983 3 11.9639999999995 1 3.98799999999983 4 15.9519999999993 1 3.98799999999983 4 15.9519999999993 1 3.98799999999983 4 15.9519999999993 1 3.98799999999983 4 15.9519999999993 1 3.98799999999983 4 15.9519999999993 1 3.98799999999983 4 15.9519999999993 2 7.97599999999966 4 15.9519999999993 2 7.97599999999966 4 15.9519999999993 2 7.97599999999966 4 15.9519999999993 2 7.97599999999966 4 15.9519999999993 2 7.97599999999966 4 15.9519999999993 2 7.97599999999966 4 15.9519999999993 2 7.97599999999966 4 15.9519999999993 2 7.97599999999966 8 31.9039999999986 2 7.97599999999966 9 35.8919999999985 2 7.97599999999966 9 35.8919999999985 2 7.97599999999966 9 35.8919999999985 2 7.97599999999966 9 35.8919999999985 15 59.8199999999974 9 35.8919999999985 15 59.8199999999974 2 7.97599999999966 2 7.97599999999966 2 7.97599999999966 3 11.9639999999995 4 15.9519999999993 4 15.9519999999993 4 15.9519999999993 5 19.9399999999991 5 19.9399999999991 5 19.9399999999991 5 19.9399999999991 5 19.9399999999991 6 23.927999999999 6 23.927999999999 6 23.927999999999 6 23.927999999999 6 23.927999999999 6 23.927999999999 6 23.927999999999 6 23.927999999999 10 39.8799999999983 11 43.8679999999981 11 43.8679999999981 11 43.8679999999981 24 95.7119999999959 24 95.7119999999959 "1.FA1.01_H2_R1" 17 NA NA NA NA NA NA NA NA
"1.FA1" "1.FA1.01" "1.FA1.01" "1.FA1.01_H2_R3" 1 25 13 213.846 8.55384 5.05500000000001 1 1 2 12.5199999999998 1 8.53199999999998 3 21.0519999999998 2 17.064 4 29.5839999999998 4 29.5839999999998 6 42.1039999999996 5 33.5719999999996 7 50.6359999999996 6 37.5599999999994 7 50.6359999999996 7 46.0919999999994 7 50.6359999999996 7 46.0919999999994 8 59.1679999999995 7 46.0919999999994 9 67.6999999999995 7 46.0919999999994 9 67.6999999999995 7 46.0919999999994 9 67.6999999999995 7 46.0919999999994 9 67.6999999999995 7 46.0919999999994 9 67.6999999999995 7 46.0919999999994 9 67.6999999999995 7 46.0919999999994 9 67.6999999999995 7 46.0919999999994 9 67.6999999999995 7 46.0919999999994 10 76.2319999999995 8 50.0799999999992 10 76.2319999999995 8 50.0799999999992 11 80.2199999999993 8 50.0799999999992 12 84.2079999999992 8 50.0799999999992 15 96.1719999999986 8 50.0799999999992 15 96.1719999999986 8 50.0799999999992 15 96.1719999999986 8 50.0799999999992 15 96.1719999999986 8 50.0799999999992 27 198.555999999998 21 101.923999999997 27 198.555999999998 21 101.923999999997 3 21.0519999999998 5 38.1159999999998 8 59.1679999999995 11 75.6759999999992 13 88.195999999999 14 96.727999999999 14 96.727999999999 15 105.259999999999 16 113.791999999999 16 113.791999999999 16 113.791999999999 16 113.791999999999 16 113.791999999999 16 113.791999999999 16 113.791999999999 16 113.791999999999 18 126.311999999999 18 126.311999999999 19 130.299999999999 20 134.287999999998 23 146.251999999998 23 146.251999999998 23 146.251999999998 23 146.251999999998 48 300.479999999995 48 300.479999999995 "1.FA1.01_H2_RNA" NA NA NA NA NA NA NA NA NA
"1.FA1" "1.FA1.01" "1.FA1.01" "1.FA1.01_H2_R4" 1 25 13 213.846 8.55384 5.05500000000001 1 1 1 6.52700000000004 0 NA 2 13.0540000000001 0 NA 2 13.0540000000001 0 NA 2 13.0540000000001 0 NA 3 19.5810000000001 0 NA 4 26.1080000000002 0 NA 4 26.1080000000002 0 NA 4 26.1080000000002 0 NA 5 32.6350000000002 0 NA 5 32.6350000000002 0 NA 5 32.6350000000002 0 NA 5 32.6350000000002 1 6.52700000000004 5 32.6350000000002 1 6.52700000000004 5 32.6350000000002 1 6.52700000000004 5 32.6350000000002 1 6.52700000000004 5 32.6350000000002 1 6.52700000000004 5 32.6350000000002 1 6.52700000000004 5 32.6350000000002 1 6.52700000000004 5 32.6350000000002 1 6.52700000000004 5 32.6350000000002 1 6.52700000000004 8 52.2160000000003 1 6.52700000000004 10 65.2700000000004 1 6.52700000000004 10 65.2700000000004 1 6.52700000000004 10 65.2700000000004 1 6.52700000000004 10 65.2700000000004 14 91.3780000000006 10 65.2700000000004 14 91.3780000000006 1 6.52700000000004 2 13.0540000000001 2 13.0540000000001 2 13.0540000000001 3 19.5810000000001 4 26.1080000000002 4 26.1080000000002 4 26.1080000000002 5 32.6350000000002 5 32.6350000000002 5 32.6350000000002 6 39.1620000000002 6 39.1620000000002 6 39.1620000000002 6 39.1620000000002 6 39.1620000000002 6 39.1620000000002 6 39.1620000000002 6 39.1620000000002 6 39.1620000000002 9 58.7430000000004 11 71.7970000000004 11 71.7970000000004 11 71.7970000000004 24 156.648000000001 24 156.648000000001 "1.FA1.01_H2_R4" 1 0.5 NA NA NA NA NA NA NA
