"session" "ID_full" "ID" "noHp" "noR" "id_flow" "ID_full_part" "ID_part" "nb_visit" "dur_visit_sum" "dur_visit_mean" "dur_visit_med" "nb_poll_focal" "import_nb_visit_co1" "import_dur_visit_co1" "export_nb_visit_co1" "export_dur_visit_co1" "import_nb_visit_co2" "import_dur_visit_co2" "export_nb_visit_co2" "export_dur_visit_co2" "import_nb_visit_co3" "import_dur_visit_co3" "export_nb_visit_co3" "export_dur_visit_co3" "import_nb_visit_co4" "import_dur_visit_co4" "export_nb_visit_co4" "export_dur_visit_co4" "import_nb_visit_co5" "import_dur_visit_co5" "export_nb_visit_co5" "export_dur_visit_co5" "import_nb_visit_co6" "import_dur_visit_co6" "export_nb_visit_co6" "export_dur_visit_co6" "import_nb_visit_co7" "import_dur_visit_co7" "export_nb_visit_co7" "export_dur_visit_co7" "import_nb_visit_co8" "import_dur_visit_co8" "export_nb_visit_co8" "export_dur_visit_co8" "import_nb_visit_co9" "import_dur_visit_co9" "export_nb_visit_co9" "export_dur_visit_co9" "import_nb_visit_co10" "import_dur_visit_co10" "export_nb_visit_co10" "export_dur_visit_co10" "import_nb_visit_co11" "import_dur_visit_co11" "export_nb_visit_co11" "export_dur_visit_co11" "import_nb_visit_co12" "import_dur_visit_co12" "export_nb_visit_co12" "export_dur_visit_co12" "import_nb_visit_co13" "import_dur_visit_co13" "export_nb_visit_co13" "export_dur_visit_co13" "import_nb_visit_co14" "import_dur_visit_co14" "export_nb_visit_co14" "export_dur_visit_co14" "import_nb_visit_co15" "import_dur_visit_co15" "export_nb_visit_co15" "export_dur_visit_co15" "import_nb_visit_co16" "import_dur_visit_co16" "export_nb_visit_co16" "export_dur_visit_co16" "import_nb_visit_co17" "import_dur_visit_co17" "export_nb_visit_co17" "export_dur_visit_co17" "import_nb_visit_co18" "import_dur_visit_co18" "export_nb_visit_co18" "export_dur_visit_co18" "import_nb_visit_co19" "import_dur_visit_co19" "export_nb_visit_co19" "export_dur_visit_co19" "import_nb_visit_co20" "import_dur_visit_co20" "export_nb_visit_co20" "export_dur_visit_co20" "import_nb_visit_co30" "import_dur_visit_co30" "export_nb_visit_co30" "export_dur_visit_co30" "import_nb_visit_co40" "import_dur_visit_co40" "export_nb_visit_co40" "export_dur_visit_co40" "import_nb_visit_co50" "import_dur_visit_co50" "export_nb_visit_co50" "export_dur_visit_co50" "import_nb_visit_co100" "import_dur_visit_co100" "export_nb_visit_co100" "export_dur_visit_co100" "import_nb_visit_co200" "import_dur_visit_co200" "export_nb_visit_co200" "export_dur_visit_co200" "import_nb_visit_co300" "import_dur_visit_co300" "export_nb_visit_co300" "export_dur_visit_co300" "impex_nb_visit_co1" "impex_dur_visit_co1" "impex_nb_visit_co2" "impex_dur_visit_co2" "impex_nb_visit_co3" "impex_dur_visit_co3" "impex_nb_visit_co4" "impex_dur_visit_co4" "impex_nb_visit_co5" "impex_dur_visit_co5" "impex_nb_visit_co6" "impex_dur_visit_co6" "impex_nb_visit_co7" "impex_dur_visit_co7" "impex_nb_visit_co8" "impex_dur_visit_co8" "impex_nb_visit_co9" "impex_dur_visit_co9" "impex_nb_visit_co10" "impex_dur_visit_co10" "impex_nb_visit_co11" "impex_dur_visit_co11" "impex_nb_visit_co12" "impex_dur_visit_co12" "impex_nb_visit_co13" "impex_dur_visit_co13" "impex_nb_visit_co14" "impex_dur_visit_co14" "impex_nb_visit_co15" "impex_dur_visit_co15" "impex_nb_visit_co16" "impex_dur_visit_co16" "impex_nb_visit_co17" "impex_dur_visit_co17" "impex_nb_visit_co18" "impex_dur_visit_co18" "impex_nb_visit_co19" "impex_dur_visit_co19" "impex_nb_visit_co20" "impex_dur_visit_co20" "impex_nb_visit_co30" "impex_dur_visit_co30" "impex_nb_visit_co40" "impex_dur_visit_co40" "impex_nb_visit_co50" "impex_dur_visit_co50" "impex_nb_visit_co100" "impex_dur_visit_co100" "impex_nb_visit_co200" "impex_dur_visit_co200" "impex_nb_visit_co300" "impex_dur_visit_co300" "nGenot" "gMS_fem_all" "gMS_fem_out" "SR_couple" "SR_mal_all_share" "SR_mal_all_share_viab"
"1.FA1" "1.FA1.01" 1 1 "1" "1.FA1.01_H1_R1" "1.FA1.01" 1 3 35.1340000000002 11.7113333333334 11.946 1 3 17.896 2 18.472 6 41.7439999999999 3 39.485 8 73.8069999999999 4 46.012 10 83.3619999999999 5 58.342 12 124.64 6 59.068 13 125.663 7 71.398 15 140.466 8 72.124 17 147.398 8 72.124 17 147.398 8 72.124 18 150.213 8 72.124 18 150.213 8 72.124 18 150.213 8 72.124 18 150.213 9 77.179 18 150.213 9 77.179 18 150.213 10 82.2340000000001 18 150.213 10 82.2340000000001 18 150.213 10 82.2340000000001 18 150.213 10 82.2340000000001 18 150.213 10 82.2340000000001 18 150.213 10 82.2340000000001 22 200.599 10 82.2340000000001 24 211.114 10 82.2340000000001 25 223.081 10 82.2340000000001 25 223.081 10 82.2340000000001 38 349.684 34 256.72 38 349.684 34 256.72 5 36.368 9 81.2289999999999 12 119.819 15 141.704 18 183.708 20 197.061 23 212.59 25 219.522 25 219.522 26 222.337 26 222.337 26 222.337 27 227.392 27 227.392 28 232.447 28 232.447 28 232.447 28 232.447 28 232.447 28 232.447 32 282.833 34 293.348 35 305.315 35 305.315 72 606.403999999999 72 606.403999999999 NA NA NA NA NA NA
"1.FA1" "1.FA1.01" 1 1 "1" "1.FA1.01_H1_R1" "1.FA1.02" 2 3 35.1340000000002 11.7113333333334 11.946 1 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 1 3.62599999999998 1 2.53800000000001 2 8.702 1 2.53800000000001 2 8.702 2 5.07600000000002 2 8.702 2 5.07600000000002 2 8.702 2 5.07600000000002 2 8.702 2 5.07600000000002 2 8.702 2 5.07600000000002 2 8.702 2 5.07600000000002 2 8.702 2 5.07600000000002 2 8.702 2 5.07600000000002 2 8.702 2 5.07600000000002 2 8.702 2 5.07600000000002 3 14.866 2 5.07600000000002 3 14.866 2 5.07600000000002 3 14.866 2 5.07600000000002 6 25.7850000000001 22 123.072 14 76.4020000000002 28 152.804 14 76.4020000000002 28 152.804 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 2 6.16399999999999 3 11.24 4 13.778 4 13.778 4 13.778 4 13.778 4 13.778 4 13.778 4 13.778 4 13.778 4 13.778 4 13.778 5 19.942 5 19.942 5 19.942 28 148.857000000001 42 229.206000000001 42 229.206000000001 NA NA NA NA NA NA
"1.FA1" "1.FA1.01" 1 1 "1" "1.FA1.01_H1_R1" "1.FA1.03" 3 3 35.1340000000002 11.7113333333334 11.946 1 0 NA 1 3.62599999999998 0 NA 2 7.25099999999998 0 NA 2 7.25099999999998 0 NA 2 7.25099999999998 0 NA 2 7.25099999999998 1 8.191 3 21.116 1 8.191 4 23.654 2 16.382 6 47.672 2 16.382 7 50.21 2 16.382 8 60.363 2 16.382 8 60.363 2 16.382 8 60.363 2 16.382 8 60.363 2 16.382 9 66.164 2 16.382 10 68.3389999999999 2 16.382 11 74.1399999999999 2 16.382 12 76.3149999999999 2 16.382 12 76.3149999999999 2 16.382 12 76.3149999999999 2 16.382 12 76.3149999999999 2 16.382 12 76.3149999999999 2 16.382 12 76.3149999999999 4 22.182 12 76.3149999999999 9 41.6329999999998 22 121.363 17 93.2289999999997 34 159.064999999999 17 93.2289999999997 34 159.064999999999 1 3.62599999999998 2 7.25099999999998 2 7.25099999999998 2 7.25099999999998 2 7.25099999999998 4 29.307 5 31.845 8 64.054 9 66.592 10 76.745 10 76.745 10 76.745 10 76.745 11 82.546 12 84.7209999999999 13 90.5219999999999 14 92.6969999999999 14 92.6969999999999 14 92.6969999999999 14 92.6969999999999 14 92.6969999999999 14 92.6969999999999 16 98.4969999999998 31 162.995999999999 51 252.293999999999 51 252.293999999999 NA NA NA NA NA NA
"1.FA1" "1.FA1.01" 1 1 "1" "1.FA1.01_H1_R1" "1.FA1.04" 4 3 35.1340000000002 11.7113333333334 11.946 1 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 1 1.8130000000001 0 NA 2 2.90000000000009 0 NA 3 8.70100000000002 0 NA 3 8.70100000000002 1 6.88999999999999 3 8.70100000000002 1 6.88999999999999 3 8.70100000000002 2 13.78 3 8.70100000000002 2 13.78 3 8.70100000000002 2 13.78 4 13.5 2 13.78 4 13.5 2 13.78 4 13.5 18 107.547 12 53.6410000000001 25 142.356 23 118.506 46 237.012000000001 23 118.506 46 237.012000000001 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 1 1.8130000000001 2 2.90000000000009 3 8.70100000000002 4 15.591 4 15.591 5 22.481 5 22.481 5 22.481 6 27.28 6 27.28 22 121.047 37 195.997000000001 69 355.518000000001 69 355.518000000001 NA NA NA NA NA NA
"1.FA1" "1.FA1.01" 1 1 "1" "1.FA1.01_H1_R1" "1.FA1.05" 5 3 35.1340000000002 11.7113333333334 11.946 1 0 NA 0 NA 0 NA 0 NA 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 1 10.8789999999999 1 3.98800000000006 2 14.867 1 3.98800000000006 3 19.944 1 3.98800000000006 4 28.2829999999999 1 3.98800000000006 5 32.9979999999998 1 3.98800000000006 5 32.9979999999998 1 3.98800000000006 5 32.9979999999998 1 3.98800000000006 5 32.9979999999998 1 3.98800000000006 11 61.7289999999996 1 3.98800000000006 11 61.7289999999996 25 135.421999999999 11 61.7289999999996 25 135.421999999999 0 NA 0 NA 2 14.867 2 14.867 2 14.867 2 14.867 2 14.867 2 14.867 2 14.867 2 14.867 2 14.867 2 14.867 2 14.867 2 14.867 2 14.867 2 14.867 3 18.855 4 23.932 5 32.271 6 36.9859999999999 6 36.9859999999999 6 36.9859999999999 6 36.9859999999999 12 65.7169999999996 36 197.150999999999 36 197.150999999999 NA NA NA NA NA NA
"1.FA1" "1.FA1.01" 1 1 "1" "1.FA1.01_H1_R1" "1.FA1.06" 6 3 35.1340000000002 11.7113333333334 11.946 1 0 NA 0 NA 0 NA 1 6.52700000000002 0 NA 2 10.877 0 NA 3 17.404 0 NA 4 21.754 0 NA 4 21.754 1 3.327 4 21.754 1 3.327 4 21.754 2 6.654 4 21.754 2 6.654 5 29.369 2 6.654 6 31.907 2 6.654 7 37.3459999999999 2 6.654 8 39.5209999999998 2 6.654 9 42.7839999999998 2 6.654 10 44.9589999999997 2 6.654 11 48.5849999999997 2 6.654 11 48.5849999999997 2 6.654 11 48.5849999999997 2 6.654 11 48.5849999999997 2 6.654 11 48.5849999999997 4 24.423 11 48.5849999999997 11 51.9779999999998 11 48.5849999999997 11 51.9779999999998 11 48.5849999999997 19 110.338 31 190.517 24 137.148 63 334.826999999999 24 137.148 63 334.826999999999 0 NA 1 6.52700000000002 2 10.877 3 17.404 4 21.754 4 21.754 5 25.081 5 25.081 6 28.408 7 36.023 8 38.561 9 43.9999999999999 10 46.1749999999998 11 49.4379999999998 12 51.6129999999997 13 55.2389999999997 13 55.2389999999997 13 55.2389999999997 13 55.2389999999997 13 55.2389999999997 15 73.0079999999997 22 100.563 22 100.563 50 300.854999999999 87 471.974999999998 87 471.974999999998 NA NA NA NA NA NA
"1.FA1" "1.FA1.01" 1 1 "1" "1.FA1.01_H1_R1" "1.FA1.07" 7 3 35.1340000000002 11.7113333333334 11.946 1 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 1 16.319 1 5.43900000000008 2 17.406 2 10.4940000000001 4 36.626 2 10.4940000000001 5 37.713 2 10.4940000000001 6 40.614 2 10.4940000000001 6 40.614 2 10.4940000000001 6 40.614 2 10.4940000000001 6 40.614 2 10.4940000000001 6 40.614 2 10.4940000000001 6 40.614 2 10.4940000000001 6 40.614 2 10.4940000000001 6 40.614 2 10.4940000000001 6 40.614 4 24.2300000000002 6 40.614 9 46.7310000000001 26 156.56 17 102.51 34 205.02 17 102.51 34 205.02 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 1 16.319 3 22.8450000000001 6 47.1200000000001 7 48.2070000000001 8 51.1080000000001 8 51.1080000000001 8 51.1080000000001 8 51.1080000000001 8 51.1080000000001 8 51.1080000000001 8 51.1080000000001 8 51.1080000000001 8 51.1080000000001 10 64.8440000000002 35 203.291 51 307.530000000001 51 307.530000000001 NA NA NA NA NA NA
"1.FA1" "1.FA1.01" 1 1 "1" "1.FA1.01_H1_R1" "1.FA1.08" 8 3 35.1340000000002 11.7113333333334 11.946 1 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 1 5.43899999999996 1 5.05600000000004 14 105.011 1 5.05600000000004 16 111.9 1 5.05600000000004 16 111.9 1 5.05600000000004 20 124.824 11 67.4680000000001 22 134.936 11 67.4680000000001 22 134.936 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 1 5.43899999999996 15 110.067 17 116.956 17 116.956 21 129.88 33 202.404 33 202.404 NA NA NA NA NA NA
"1.FA1" "1.FA1.01" 1 1 "1" "1.FA1.01_H1_R1" "1.FA1.09" 9 3 35.1340000000002 11.7113333333334 11.946 1 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 1 2.90000000000009 0 NA 2 10.1310000000001 0 NA 2 10.1310000000001 0 NA 2 10.1310000000001 0 NA 2 10.1310000000001 0 NA 2 10.1310000000001 0 NA 2 10.1310000000001 0 NA 2 10.1310000000001 0 NA 2 10.1310000000001 0 NA 2 10.1310000000001 0 NA 2 10.1310000000001 0 NA 2 10.1310000000001 0 NA 3 15.9160000000002 0 NA 3 15.9160000000002 1 12.33 3 15.9160000000002 2 23.827 3 15.9160000000002 4 37.608 3 15.9160000000002 5 49.105 4 20.6300000000001 12 86.818 4 20.6300000000001 28 206.822 5 36.9490000000001 30 217.016 6 46.164 30 217.016 21 154.672 42 309.344 21 154.672 42 309.344 0 NA 0 NA 0 NA 1 2.90000000000009 2 10.1310000000001 2 10.1310000000001 2 10.1310000000001 2 10.1310000000001 2 10.1310000000001 2 10.1310000000001 2 10.1310000000001 2 10.1310000000001 2 10.1310000000001 2 10.1310000000001 2 10.1310000000001 3 15.9160000000002 4 28.2460000000002 5 39.7430000000002 7 53.5240000000002 8 65.0210000000002 16 107.448 32 227.452 35 253.965 36 263.18 63 464.016 63 464.016 NA NA NA NA NA NA
"1.FA1" "1.FA1.01" 1 1 "1" "1.FA1.01_H1_R1" "1.FA1.10" 10 3 35.1340000000002 11.7113333333334 11.946 1 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 0 NA 1 4.47900000000004 0 NA 2 10.643 1 3.62599999999998 3 17.1700000000001 1 3.62599999999998 4 19.7080000000001 1 3.62599999999998 5 22.6090000000002 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 1 3.62599999999998 6 28.7730000000001 2 7.61499999999979 8 41.4000000000002 6 21.7539999999995 10 54.0270000000003 20 114.817 29 162.551000000001 22 127.444 62 341.207 22 127.444 62 341.207 0 NA 0 NA 0 NA 1 4.47900000000004 2 10.643 4 20.796 5 23.3340000000001 6 26.2350000000001 7 32.3990000000001 7 32.3990000000001 7 32.3990000000001 7 32.3990000000001 7 32.3990000000001 7 32.3990000000001 7 32.3990000000001 7 32.3990000000001 7 32.3990000000001 7 32.3990000000001 7 32.3990000000001 7 32.3990000000001 7 32.3990000000001 10 49.015 16 75.7809999999997 49 277.368000000001 84 468.651 84 468.651 NA NA NA NA NA NA
