offspring_id known_id candidate_id
1.FA1.01_H3_R1_01 1.FA1.01 1.FA1.07
1.FA1.01_H3_R1_02 1.FA1.01 1.FA1.05
1.FA1.01_H3_R1_03 1.FA1.01 1.FA1.01
1.FA1.01_H3_R1_04 1.FA1.01 1.FA1.03
1.FA1.01_H3_R1_07 1.FA1.01 1.FA1.10
1.FA1.01_H3_R1_08 1.FA1.01 1.FA1.06
1.FA1.01_H3_R1_09 1.FA1.01 1.FA1.10
1.FA1.01_H3_R1_10 1.FA1.01 1.FA1.06
1.FA1.01_H3_R1_11 1.FA1.01 1.FA1.06
1.FA1.01_H3_R1_12 1.FA1.01 1.FA1.05
1.FA1.01_H3_R1_13 1.FA1.01 1.FA1.01
1.FA1.02_H1_R1_01 1.FA1.02 1.FA1.02
1.FA1.02_H1_R1_02 1.FA1.02 1.FA1.02
1.FA1.02_H1_R1_04 1.FA1.02 1.FA1.02
1.FA1.02_H1_R1_05 1.FA1.02 1.FA1.02
1.FA1.02_H2_R1_01 1.FA1.02 1.FA1.06
1.FA1.02_H2_R1_02 1.FA1.02 1.FA1.07
1.FA1.02_H2_R1_03 1.FA1.02 1.FA1.02
1.FA1.02_H2_R3_01 1.FA1.02 1.FA1.04
1.FA1.02_H2_R3_02 1.FA1.02 1.FA1.10
1.FA1.02_H2_R3_03 1.FA1.02 1.FA1.07
1.FA1.02_H2_R3_04 1.FA1.02 1.FA1.06
1.FA1.02_H2_R3_05 1.FA1.02 1.FA1.02
1.FA1.02_H2_R3_06 1.FA1.02 1.FA1.02
1.FA1.02_H2_R3_07 1.FA1.02 1.FA1.06
1.FA1.02_H2_R3_08 1.FA1.02 1.FA1.10
1.FA1.02_H2_R3_09 1.FA1.02 1.FA1.07
1.FA1.02_H2_R4_01 1.FA1.02 1.FA1.02
1.FA1.02_H4_R1_01 1.FA1.02 1.FA1.02
1.FA1.02_H4_R1_02 1.FA1.02 1.FA1.02
1.FA1.02_H4_R2_01 1.FA1.02 1.FA1.02
1.FA1.02_H4_R2_03 1.FA1.02 1.FA1.02
1.FA1.02_H4_R2_04 1.FA1.02 1.FA1.02
1.FA1.02_H4_R2_05 1.FA1.02 1.FA1.02
1.FA1.02_H4_R2_06 1.FA1.02 1.FA1.02
1.FA1.02_H4_R2_08 1.FA1.02 1.FA1.02
1.FA1.02_H4_R2_09 1.FA1.02 1.FA1.02
1.FA1.02_H4_R3_01 1.FA1.02 1.FA1.02
1.FA1.02_H6_R1_01 1.FA1.02 1.FA1.02
1.FA1.02_H6_R1_02 1.FA1.02 1.FA1.02
1.FA1.03_H1_R2_01 1.FA1.03 1.FA1.04
1.FA1.03_H1_R5_01 1.FA1.03 1.FA1.03
1.FA1.03_H1_R5_02 1.FA1.03 1.FA1.07
1.FA1.04_H1_R3_01 1.FA1.04 1.FA1.10
1.FA1.04_H1_R3_02 1.FA1.04 1.FA1.10
1.FA1.04_H1_R5_01 1.FA1.04 1.FA1.10
1.FA1.04_H1_R5_02 1.FA1.04 1.FA1.10
1.FA1.04_H1_R5_03 1.FA1.04 1.FA1.07
1.FA1.04_H1_R6_01 1.FA1.04 1.FA1.10
1.FA1.04_H1_R6_02 1.FA1.04 1.FA1.09
1.FA1.04_H1_R8_02 1.FA1.04 1.FA1.06
1.FA1.04_H1_R8_03 1.FA1.04 1.FA1.06
1.FA1.04_H2_R1_01 1.FA1.04 1.FA1.10
1.FA1.04_H2_R1_02 1.FA1.04 1.FA1.10
1.FA1.04_H2_R1_03 1.FA1.04 1.FA1.07
1.FA1.04_H2_R1_04 1.FA1.04 1.FA1.10
1.FA1.04_H2_R1_05 1.FA1.04 1.FA1.10
1.FA1.04_H2_R1_06 1.FA1.04 1.FA1.09
1.FA1.04_H2_R1_08 1.FA1.04 1.FA1.10
1.FA1.04_H2_R3_01 1.FA1.04 1.FA1.10
1.FA1.04_H2_R3_02 1.FA1.04 1.FA1.10
1.FA1.04_H2_R3_03 1.FA1.04 1.FA1.10
1.FA1.04_H2_R3_05 1.FA1.04 1.FA1.10
1.FA1.04_H2_R3_06 1.FA1.04 1.FA1.10
1.FA1.04_H2_R3_07 1.FA1.04 1.FA1.07
1.FA1.04_H2_R3_08 1.FA1.04 1.FA1.10
1.FA1.04_H2_R3_09 1.FA1.04 1.FA1.10
1.FA1.04_H2_R3_10 1.FA1.04 1.FA1.10
1.FA1.04_H2_R3_12 1.FA1.04 1.FA1.10
1.FA1.04_H2_R4_01 1.FA1.04 1.FA1.03
1.FA1.04_H2_R4_02 1.FA1.04 1.FA1.05
1.FA1.04_H2_R4_03 1.FA1.04 1.FA1.05
1.FA1.04_H2_R4_04 1.FA1.04 1.FA1.04
1.FA1.04_H2_R4_05 1.FA1.04 1.FA1.10
1.FA1.04_H2_R4_06 1.FA1.04 1.FA1.03
1.FA1.04_H2_R4_07 1.FA1.04 1.FA1.07
1.FA1.04_H2_R4_08 1.FA1.04 1.FA1.10
1.FA1.04_H2_R4_09 1.FA1.04 1.FA1.03
1.FA1.04_H2_R4_10 1.FA1.04 1.FA1.07
1.FA1.04_H2_R4_11 1.FA1.04 1.FA1.05
1.FA1.04_H2_R4_12 1.FA1.04 1.FA1.03
1.FA1.04_H2_R4_13 1.FA1.04 1.FA1.03
1.FA1.04_H2_R5_01 1.FA1.04 1.FA1.04
1.FA1.04_H2_R5_02 1.FA1.04 1.FA1.10
1.FA1.04_H3_R1_01 1.FA1.04 1.FA1.01
1.FA1.04_H3_R1_02 1.FA1.04 1.FA1.01
1.FA1.04_H3_R1_03 1.FA1.04 1.FA1.01
1.FA1.04_H3_R1_05 1.FA1.04 1.FA1.01
1.FA1.04_H3_R1_06 1.FA1.04 1.FA1.01
1.FA1.04_H3_R1_07 1.FA1.04 1.FA1.01
1.FA1.04_H3_R1_08 1.FA1.04 1.FA1.01
1.FA1.04_H3_R1_09 1.FA1.04 1.FA1.01
1.FA1.05_H2_R2_01 1.FA1.05 1.FA1.01
1.FA1.05_H2_R2_02 1.FA1.05 1.FA1.03
1.FA1.06_H1_R1_02 1.FA1.06 1.FA1.06
1.FA1.06_H1_R1_03 1.FA1.06 1.FA1.07
1.FA1.06_H1_R1_04 1.FA1.06 1.FA1.07
1.FA1.06_H1_R1_05 1.FA1.06 1.FA1.07
1.FA1.06_H1_R1_07 1.FA1.06 1.FA1.05
1.FA1.06_H1_R1_08 1.FA1.06 1.FA1.06
1.FA1.06_H1_R1_11 1.FA1.06 1.FA1.07
1.FA1.06_H1_R1_12 1.FA1.06 1.FA1.07
1.FA1.06_H1_R1_14 1.FA1.06 1.FA1.07
1.FA1.06_H1_R2_01 1.FA1.06 1.FA1.04
1.FA1.06_H1_R2_02 1.FA1.06 1.FA1.06
1.FA1.06_H1_R2_03 1.FA1.06 1.FA1.06
1.FA1.06_H1_R3_01 1.FA1.06 1.FA1.10
1.FA1.06_H1_R4_01 1.FA1.06 1.FA1.01
1.FA1.06_H1_R4_02 1.FA1.06 1.FA1.06
1.FA1.06_H1_R4_03 1.FA1.06 1.FA1.06
1.FA1.06_H2_R1_01 1.FA1.06 1.FA1.05
1.FA1.06_H2_R2_01 1.FA1.06 1.FA1.10
1.FA1.06_H2_R2_02 1.FA1.06 1.FA1.06
1.FA1.06_H2_R2_04 1.FA1.06 1.FA1.10
1.FA1.06_H2_R2_05 1.FA1.06 1.FA1.05
1.FA1.06_H2_R4_01 1.FA1.06 1.FA1.07
1.FA1.06_H2_R4_02 1.FA1.06 1.FA1.06
1.FA1.06_H3_R1_02 1.FA1.06 1.FA1.06
1.FA1.06_H3_R1_03 1.FA1.06 1.FA1.07
1.FA1.06_H3_R1_04 1.FA1.06 1.FA1.07
1.FA1.06_H3_R2_02 1.FA1.06 1.FA1.06
1.FA1.06_H3_R2_04 1.FA1.06 1.FA1.06
1.FA1.07_H1_R6_01 1.FA1.07 1.FA1.07
