session people time duration ID_full ID noHp flow id_flow id_flow_full
1.FA1 Jeanne 32.768 2.815 1.FA1.01 1 1 3 1_1_3 1.FA1.01_1_3
1.FA1 Jeanne 36.822 3.327 1.FA1.06 6 2 NR 6_2_NR 1.FA1.06_2_NR
1.FA1 Jeanne 56.448 8.191 1.FA1.03 3 1 8 3_1_8 1.FA1.03_1_8
1.FA1 Jeanne 67.371 12.628 1.FA1.01 1 1 NR 1_1_NR 1.FA1.01_1_NR
1.FA1 Jeanne 80 1.023 1.FA1.01 1 1 3 1_1_3 1.FA1.01_1_3
1.FA1 Jeanne 81.024 28.65 1.FA1.01 1 1 4 1_1_4 1.FA1.01_1_4
1.FA1 Jeanne 112.235 8.53199999999998 1.FA1.01 1 2 3 1_2_3 1.FA1.01_2_3
1.FA1 Jeanne 120.768 3.41300000000001 1.FA1.01 1 2 NR 1_2_NR 1.FA1.01_2_NR
1.FA1 Jeanne 127.595 11.946 1.FA1.01 1 1 1 1_1_1 1.FA1.01_1_1
1.FA1 Jeanne 139.542 11.945 1.FA1.01 1 1 4 1_1_4 1.FA1.01_1_4
1.FA1 Jeanne 151.488 21.013 1.FA1.01 1 1 1 1_1_1 1.FA1.01_1_1
1.FA1 Jeanne 173.59 6.52700000000002 1.FA1.01 1 1 NR 1_1_NR 1.FA1.01_1_NR
1.FA1 Jeanne 183.382 6.52700000000002 1.FA1.06 6 3 2 6_3_2 1.FA1.06_3_2
1.FA1 Jeanne 194.241 4.34999999999999 1.FA1.06 6 1 NR 6_1_NR 1.FA1.06_1_NR
1.FA1 Jeanne 201.195 12.33 1.FA1.01 1 1 3 1_1_3 1.FA1.01_1_3
1.FA1 Jeanne 214.571 0.725999999999999 1.FA1.01 1 1 6 1_1_6 1.FA1.01_1_6
1.FA1 Jeanne 222.55 13.865 1.FA1.03 3 1 5 3_1_5 1.FA1.03_1_5
1.FA1 Jeanne 236.416 2.53800000000001 1.FA1.03 3 2 1 3_2_1 1.FA1.03_2_1
1.FA1 Jeanne 240.15 10.153 1.FA1.03 3 1 3 3_1_3 1.FA1.03_1_3
1.FA1 Jeanne 256.832 2.53800000000001 1.FA1.02 2 3 3 2_3_3 1.FA1.02_3_3
1.FA1 Jeanne 260.096 16.319 1.FA1.07 7 1 5 7_1_5 1.FA1.07_1_5
1.FA1 Jeanne 276.416 1.08699999999999 1.FA1.07 7 1 3 7_1_3 1.FA1.07_1_3
1.FA1 Jeanne 277.504 2.90100000000001 1.FA1.07 7 1 2 7_1_2 1.FA1.07_1_2
1.FA1 Jeanne 281.494 5.05500000000001 1.FA1.01 1 1 7 1_1_7 1.FA1.01_1_7
1.FA1 Jeanne 287.638 5.80099999999999 1.FA1.03 3 1 6 3_1_6 1.FA1.03_1_6
1.FA1 Jeanne 294.144 2.17499999999995 1.FA1.03 3 1 7 3_1_7 1.FA1.03_1_7
1.FA1 Jeanne 305.024 6.88999999999999 1.FA1.04 4 2 2 4_2_2 1.FA1.04_2_2
1.FA1 Jeanne 314.091 12.33 1.FA1.09 9 2 4 9_2_4 1.FA1.09_2_4
1.FA1 Jeanne 326.422 11.497 1.FA1.09 9 2 3 9_2_3 1.FA1.09_2_3
1.FA1 Jeanne 337.92 1.45100000000002 1.FA1.09 9 1 3 9_1_3 1.FA1.09_1_3
1.FA1 Jeanne 340.822 5.43899999999996 1.FA1.08 8 2 3 8_2_3 1.FA1.08_2_3
1.FA1 Jeanne 356.395 6.52699999999999 1.FA1.08 8 2 1 8_2_1 1.FA1.08_2_1
1.FA1 Jeanne 369.088 4.45800000000003 1.FA1.08 8 2 2 8_2_2 1.FA1.08_2_2
1.FA1 Jeanne 390.955 4.351 1.FA1.09 9 1 2 9_1_2 1.FA1.09_1_2
1.FA1 Jeanne 395.307 4.351 1.FA1.09 9 1 1 9_1_1 1.FA1.09_1_1
1.FA1 Jeanne 399.659 9.42899999999997 1.FA1.09 9 1 3 9_1_3 1.FA1.09_1_3
1.FA1 Jeanne 410.902 9.428 1.FA1.08 8 1 6 8_1_6 1.FA1.08_1_6
1.FA1 Jeanne 425.408 14.506 1.FA1.08 8 1 5 8_1_5 1.FA1.08_1_5
1.FA1 Jeanne 439.915 8.70300000000003 1.FA1.08 8 1 4 8_1_4 1.FA1.08_1_4
1.FA1 Jeanne 448.619 5.43900000000002 1.FA1.08 8 1 2 8_1_2 1.FA1.08_1_2
1.FA1 Jeanne 454.059 1.44999999999999 1.FA1.08 8 1 5 8_1_5 1.FA1.08_1_5
1.FA1 Jeanne 461.313 10.516 1.FA1.09 9 2 3 9_2_3 1.FA1.09_2_3
1.FA1 Jeanne 471.83 3.41199999999998 1.FA1.09 9 1 2 9_1_2 1.FA1.09_1_2
1.FA1 Jeanne 475.243 4.77799999999996 1.FA1.09 9 2 1 9_2_1 1.FA1.09_2_1
1.FA1 Jeanne 480.022 5.80099999999999 1.FA1.09 9 1 3 9_1_3 1.FA1.09_1_3
1.FA1 Jeanne 485.824 3.07100000000003 1.FA1.09 9 2 3 9_2_3 1.FA1.09_2_3
1.FA1 Jeanne 488.896 18.773 1.FA1.09 9 1 7 9_1_7 1.FA1.09_1_7
1.FA1 Jeanne 510.742 5.11900000000003 1.FA1.09 9 1 4 9_1_4 1.FA1.09_1_4
1.FA1 Jeanne 515.862 8.53200000000004 1.FA1.09 9 2 6 9_2_6 1.FA1.09_2_6
1.FA1 Jeanne 525.078 8.53200000000004 1.FA1.10 10 2 NR 10_2_NR 1.FA1.10_2_NR
1.FA1 Jeanne 533.611 4.09500000000003 1.FA1.10 10 1 2 10_1_2 1.FA1.10_1_2
1.FA1 Jeanne 540.438 5.09699999999998 1.FA1.09 9 2 3 9_2_3 1.FA1.09_2_3
1.FA1 Jeanne 546.56 5.41800000000001 1.FA1.04 4 2 5 4_2_5 1.FA1.04_2_5
1.FA1 Jeanne 551.979 2.04700000000003 1.FA1.04 4 2 3 4_2_3 1.FA1.04_2_3
1.FA1 Jeanne 554.027 6.48400000000004 1.FA1.04 4 2 1 4_2_1 1.FA1.04_2_1
1.FA1 Jeanne 562.88 7.85000000000002 1.FA1.04 4 1 8 4_1_8 1.FA1.04_1_8
1.FA1 Jeanne 570.731 1.70600000000002 1.FA1.04 4 1 3 4_1_3 1.FA1.04_1_3
1.FA1 Jeanne 572.438 6.82500000000005 1.FA1.04 4 1 1 4_1_1 1.FA1.04_1_1
1.FA1 Jeanne 579.264 11.264 1.FA1.04 4 1 5 4_1_5 1.FA1.04_1_5
1.FA1 Jeanne 590.529 5.46000000000004 1.FA1.04 4 1 2 4_1_2 1.FA1.04_1_2
1.FA1 Jeanne 601.963 5.11900000000003 1.FA1.04 4 1 5 4_1_5 1.FA1.04_1_5
1.FA1 Jeanne 607.083 5.80200000000002 1.FA1.04 4 3 1 4_3_1 1.FA1.04_3_1
1.FA1 Jeanne 616.299 5.46000000000004 1.FA1.03 3 2 6 3_2_6 1.FA1.03_2_6
1.FA1 Jeanne 621.76 3.41300000000001 1.FA1.03 3 2 3 3_2_3 1.FA1.03_2_3
1.FA1 Jeanne 627.904 4.41499999999996 1.FA1.08 8 1 3 8_1_3 1.FA1.08_1_3
1.FA1 Jeanne 632.32 2.04700000000003 1.FA1.08 8 1 2 8_1_2 1.FA1.08_1_2
1.FA1 Jeanne 638.123 5.11900000000003 1.FA1.06 6 3 4 6_3_4 1.FA1.06_3_4
1.FA1 Jeanne 650.752 4.09500000000003 1.FA1.02 2 2 3 2_2_3 1.FA1.02_2_3
1.FA1 Jeanne 654.848 5.80200000000002 1.FA1.02 2 2 2 2_2_2 1.FA1.02_2_2
1.FA1 Jeanne 664.064 5.80200000000002 1.FA1.02 2 2 3 2_2_3 1.FA1.02_2_3
1.FA1 Jeanne 669.867 14.292 1.FA1.02 2 3 4 2_3_4 1.FA1.02_3_4
1.FA1 Jeanne 684.16 10.581 1.FA1.02 2 3 NR 2_3_NR 1.FA1.02_3_NR
1.FA1 Jeanne 699.862 5.46000000000004 1.FA1.02 2 1 NR 2_1_NR 1.FA1.02_1_NR
1.FA1 Jeanne 705.323 2.04700000000003 1.FA1.02 2 1 2 2_1_2 1.FA1.02_1_2
1.FA1 Jeanne 714.539 6.48400000000004 1.FA1.07 7 2 3 7_2_3 1.FA1.07_2_3
1.FA1 Jeanne 724.779 6.82600000000002 1.FA1.07 7 1 5 7_1_5 1.FA1.07_1_5
1.FA1 Jeanne 736.726 4.09500000000003 1.FA1.07 7 1 2 7_1_2 1.FA1.07_1_2
1.FA1 Jeanne 740.822 14.313 1.FA1.07 7 1 4 7_1_4 1.FA1.07_1_4
1.FA1 Jeanne 755.136 3.75400000000002 1.FA1.07 7 1 1 7_1_1 1.FA1.07_1_1
1.FA1 Jeanne 765.035 7.48699999999997 1.FA1.06 6 3 1 6_3_1 1.FA1.06_3_1
1.FA1 Jeanne 772.523 2.38799999999992 1.FA1.06 6 3 2 6_3_2 1.FA1.06_3_2
1.FA1 Jeanne 779.008 6.82600000000002 1.FA1.06 6 2 3 6_2_3 1.FA1.06_2_3
1.FA1 Jeanne 785.835 6.14299999999992 1.FA1.06 6 2 1 6_2_1 1.FA1.06_2_1
1.FA1 Jeanne 798.806 4.09500000000003 1.FA1.06 6 1 3 6_1_3 1.FA1.06_1_3
1.FA1 Jeanne 806.998 17.407 1.FA1.06 6 1 1 6_1_1 1.FA1.06_1_1
1.FA1 Jeanne 826.454 6.14300000000003 1.FA1.06 6 1 NR 6_1_NR 1.FA1.06_1_NR
1.FA1 Jeanne 835.328 10.922 1.FA1.06 6 1 NR 6_1_NR 1.FA1.06_1_NR
1.FA1 Jeanne 846.251 4.43600000000004 1.FA1.06 6 1 2 6_1_2 1.FA1.06_1_2
1.FA1 Jeanne 854.784 9.87699999999995 1.FA1.07 7 2 1 7_2_1 1.FA1.07_2_1
1.FA1 Jeanne 864.662 2.38799999999992 1.FA1.07 7 2 4 7_2_4 1.FA1.07_2_4
1.FA1 Jeanne 873.174 4.09500000000003 1.FA1.02 2 2 1 2_2_1 1.FA1.02_2_1
1.FA1 Jeanne 877.27 3.41200000000003 1.FA1.02 2 2 2 2_2_2 1.FA1.02_2_2
1.FA1 Jeanne 880.683 3.41200000000003 1.FA1.02 2 2 1 2_2_1 1.FA1.02_2_1
1.FA1 Jeanne 885.121 5.11800000000005 1.FA1.07 7 2 1 7_2_1 1.FA1.07_2_1
1.FA1 Jeanne 890.24 0.682000000000016 1.FA1.07 7 2 3 7_2_3 1.FA1.07_2_3
1.FA1 Jeanne 893.995 4.43599999999992 1.FA1.07 7 3 1 7_3_1 1.FA1.07_3_1
1.FA1 Jeanne 908.331 3.41199999999992 1.FA1.03 3 1 2 3_1_2 1.FA1.03_1_2
1.FA1 Jeanne 911.744 4.77799999999991 1.FA1.03 3 1 3 3_1_3 1.FA1.03_1_3
1.FA1 Jeanne 921.984 5.46100000000001 1.FA1.03 3 1 5 3_1_5 1.FA1.03_1_5
1.FA1 Jeanne 928.128 4.09500000000003 1.FA1.04 4 1 6 4_1_6 1.FA1.04_1_6
1.FA1 Jeanne 942.464 6.48500000000001 1.FA1.10 10 3 1 10_3_1 1.FA1.10_3_1
1.FA1 Jeanne 954.411 6.48400000000004 1.FA1.10 10 2 1 10_2_1 1.FA1.10_2_1
1.FA1 Jeanne 963.286 5.11900000000003 1.FA1.10 10 1 6 10_1_6 1.FA1.10_1_6
1.FA1 Jeanne 968.406 1.70500000000004 1.FA1.10 10 1 7 10_1_7 1.FA1.10_1_7
1.FA1 Jeanne 970.112 3.41300000000001 1.FA1.10 10 1 6 10_1_6 1.FA1.10_1_6
1.FA1 Jeanne 973.526 17.0650000000001 1.FA1.10 10 1 5 10_1_5 1.FA1.10_1_5
1.FA1 Jeanne 990.592 3.07100000000003 1.FA1.10 10 1 NR 10_1_NR 1.FA1.10_1_NR
1.FA1 Jeanne 1001.515 4.43600000000015 1.FA1.10 10 1 8 10_1_8 1.FA1.10_1_8
