session ID_full_foc q_obs q_gen ttt nb_genot
1.FA1 1.FA1.01 0.196258064516129 0.178571428571429 1_low 8
1.FA1 1.FA1.02 0.162623951182304 0.2 1_low 5
1.FA1 1.FA1.03 0.157471264367816 0 1_low 2
1.FA1 1.FA1.04 0.211645962732919 0.244444444444444 1_low 10
1.FA1 1.FA1.05 0.160740584893751 0 1_low 2
1.FA1 1.FA1.06 0.225522140911276 0.19047619047619 1_low 7
1.FA1 1.FA1.07 0.210470085470085 NA 1_low 0
1.FA1 1.FA1.08 0.254938271604938 0.133333333333333 1_low 10
1.FA1 1.FA1.09 0.171941426547 0.4 1_low 10
1.FA1 1.FA1.10 0.156169066611416 0.194444444444444 1_low 9
1.FA2 1.FA2.01 0.726242011956298 0.75 1_low 8
1.FA2 1.FA2.02 0.500783699059561 0.523809523809524 1_low 7
1.FA2 1.FA2.03 0.417788461538462 NA 1_low 0
1.FA2 1.FA2.05 0.725013220518244 0.4 1_low 5
1.FA2 1.FA2.06 1 0.5 1_low 4
1.FA2 1.FA2.07 0.298701298701299 0.266666666666667 1_low 6
1.FA2 1.FA2.08 0.370468611847922 1 1_low 7
1.FA2 1.FA2.09 0.565749235474006 1 1_low 6
1.FO1 1.FO1.01 0.214475947400544 0.666666666666667 3_high 6
1.FO1 1.FO1.02 0.178263841421736 0.0888888888888889 3_high 10
1.FO1 1.FO1.03 0.158355718355718 0.3 3_high 5
1.FO1 1.FO1.04 0.135266539329745 0.285714285714286 3_high 7
1.FO1 1.FO1.05 0.214924804873406 0.166666666666667 3_high 4
1.FO1 1.FO1.06 0.153982300884956 0.392857142857143 3_high 8
1.FO1 1.FO1.07 0.153211275791921 0.333333333333333 3_high 3
1.FO1 1.FO1.08 0.213114754098361 0.392857142857143 3_high 8
1.FO1 1.FO1.09 0.147057728812298 0.266666666666667 3_high 10
1.FO1 1.FO1.10 0.325708061002179 NA 3_high 0
1.FO2 1.FO2.01 0.20132692747655 NA 3_high 0
1.FO2 1.FO2.02 0.253364213552689 NA 3_high 1
1.FO2 1.FO2.03 0.225533415623347 0.355555555555556 3_high 10
1.FO2 1.FO2.04 0.415686274509804 1 3_high 9
1.FO2 1.FO2.05 0.331285202252944 0.4 3_high 6
1.FO2 1.FO2.06 0.341463414634146 NA 3_high 0
1.FO2 1.FO2.07 0.306693842523064 0.5 3_high 4
1.FO2 1.FO2.08 0.176285317276517 0.288888888888889 3_high 10
1.FO2 1.FO2.09 0.170763933376041 NA 3_high 1
1.FO2 1.FO2.10 0.264767490573942 0.5 3_high 9
1.MO1 1.MO1.01 0.190588109609529 0.133333333333333 2_medium 10
1.MO1 1.MO1.02 0.279011311269376 NA 2_medium 1
1.MO1 1.MO1.03 0.345897582333904 0 2_medium 4
1.MO1 1.MO1.04 0.316413373860182 0.535714285714286 2_medium 8
1.MO1 1.MO1.05 0.320197044334975 0 2_medium 2
1.MO1 1.MO1.06 0.161782109293422 0.6 2_medium 5
1.MO1 1.MO1.07 0.380952380952381 0.8 2_medium 10
1.MO1 1.MO1.08 0.160905968226707 1 2_medium 6
1.MO1 1.MO1.09 0.209876543209877 0.488888888888889 2_medium 10
1.MO2 1.MO2.01 0.41025641025641 NA 2_medium 0
1.MO2 1.MO2.02 0.399766218585622 0 2_medium 2
1.MO2 1.MO2.03 0.95 NA 2_medium 0
1.MO2 1.MO2.04 1 1 2_medium 5
1.MO2 1.MO2.06 0.448948948948949 NA 2_medium 0
1.MO2 1.MO2.07 0.438655462184874 0.5 2_medium 9
1.MO2 1.MO2.08 0.692522711390636 0.333333333333333 2_medium 3
1.MO2 1.MO2.09 1 NA 2_medium 0
3.FA1 3.FA1.02 0.786096256684492 0.777777777777778 1_low 9
3.FA1 3.FA1.03 0.640898783755927 1 1_low 3
3.FA1 3.FA1.04 0.379174603174603 0.142857142857143 1_low 7
3.FA1 3.FA1.08 0.369118745332338 0 1_low 2
3.FA1 3.FA1.09 0.416180150125104 0.333333333333333 1_low 4
3.FA1 3.FA1.10 0.507692307692308 0.666666666666667 1_low 6
3.FA2 3.FA2.01 1 NA 1_low 0
3.FA2 3.FA2.03 0.573015873015873 1 1_low 10
3.FA2 3.FA2.04 0.8 NA 1_low 0
3.FA2 3.FA2.05 0.818181818181818 NA 1_low 0
3.FA2 3.FA2.06 0.622222222222222 NA 1_low 0
3.FO1 3.FO1.01 0.476204351204351 0.277777777777778 3_high 9
3.FO1 3.FO1.02 0.229881783221763 NA 3_high 0
3.FO1 3.FO1.03 0.302349336057201 0.25 3_high 9
3.FO1 3.FO1.04 0.171894516722103 0.25 3_high 8
3.FO1 3.FO1.05 0.217359269083407 0.266666666666667 3_high 10
3.FO1 3.FO1.06 0.637017070979335 0.392857142857143 3_high 8
3.FO1 3.FO1.07 0.180473560591633 0.311111111111111 3_high 10
3.FO1 3.FO1.08 0.311911716975008 0.266666666666667 3_high 6
3.FO1 3.FO1.09 0.269227373068433 0.361111111111111 3_high 9
3.FO1 3.FO1.10 0.237938596491228 0.666666666666667 3_high 6
3.FO2 3.FO2.01 0.498051948051948 NA 3_high 0
3.FO2 3.FO2.02 0.24435394298408 NA 3_high 0
3.FO2 3.FO2.03 0.181273668753381 0.5 3_high 9
3.FO2 3.FO2.04 0.134473050242359 0.214285714285714 3_high 8
3.FO2 3.FO2.05 0.204633405189206 0.25 3_high 9
3.FO2 3.FO2.06 0.352080123266564 0.4 3_high 10
3.FO2 3.FO2.07 0.139148494288681 0.222222222222222 3_high 10
3.FO2 3.FO2.08 0.192481726418378 0.488888888888889 3_high 10
3.FO2 3.FO2.09 0.377689360447981 0.266666666666667 3_high 10
3.FO2 3.FO2.10 0.740407449068866 0.644444444444444 3_high 10
3.MO1 3.MO1.01 0.401069518716578 NA 2_medium 0
3.MO1 3.MO1.02 0.161002178649237 NA 2_medium 0
3.MO1 3.MO1.03 0.205713398540599 0.444444444444444 2_medium 9
3.MO1 3.MO1.04 0.268347338935574 1 2_medium 4
3.MO1 3.MO1.05 0.193358162631906 0.333333333333333 2_medium 3
3.MO1 3.MO1.07 0.193434262948207 0.222222222222222 2_medium 9
3.MO1 3.MO1.08 0.355246523388116 0.2 2_medium 5
3.MO1 3.MO1.09 0.201395657089392 NA 2_medium 0
3.MO1 3.MO1.10 0.222222222222222 NA 2_medium 0
3.MO2 3.MO2.03 0.420677361853832 NA 2_medium 0
3.MO2 3.MO2.04 0.188118811881188 NA 2_medium 0
3.MO2 3.MO2.05 0.244444444444444 NA 2_medium 0
3.MO2 3.MO2.06 0.43019943019943 0 2_medium 2
3.MO2 3.MO2.07 0.486253369272237 0.2 2_medium 6
3.MO2 3.MO2.08 0.39766081871345 NA 2_medium 0
3.MO2 3.MO2.09 0.31387181738367 1 2_medium 3
